#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -15.6486  -15.4786  -15.4786  -15.3124  -15.3124  -14.4500  -13.9840  -13.9840  -13.9038  -13.8696  -13.8696  -12.9935  -12.8096   -7.0688   -7.0688   -6.9464   -6.5415   -6.5415   -6.4030   -4.9158   -2.6851   -2.6851   -2.4562   -1.9082   -1.2184   -1.2184   -0.8898   -0.8898    0.6867    2.0317    2.7040    4.3817    4.4596    4.4596    6.0885    6.1425
  0.0134  -15.6487  -15.4786  -15.4786  -15.3125  -15.3125  -14.4500  -13.9840  -13.9840  -13.9038  -13.8697  -13.8697  -12.9936  -12.8095   -7.0688   -7.0688   -6.9463   -6.5416   -6.5416   -6.4036   -4.9143   -2.6851   -2.6851   -2.4653   -1.8987   -1.2184   -1.2184   -0.8898   -0.8898    0.6847    2.0301    2.7064    4.3812    4.4596    4.4596    6.0949    6.1745
  0.0268  -15.6487  -15.4786  -15.4786  -15.3125  -15.3125  -14.4500  -13.9840  -13.9840  -13.9038  -13.8696  -13.8696  -12.9938  -12.8093   -7.0688   -7.0688   -6.9459   -6.5415   -6.5415   -6.4055   -4.9097   -2.6851   -2.6851   -2.4909   -1.8718   -1.2184   -1.2184   -0.8898   -0.8898    0.6789    2.0255    2.7134    4.3799    4.4596    4.4596    6.0962    6.1211
  0.0402  -15.6487  -15.4786  -15.4786  -15.3124  -15.3124  -14.4500  -13.9840  -13.9840  -13.9038  -13.8696  -13.8696  -12.9941  -12.8090   -7.0688   -7.0688   -6.9452   -6.5415   -6.5415   -6.4085   -4.9022   -2.6851   -2.6851   -2.5288   -1.8318   -1.2183   -1.2183   -0.8899   -0.8899    0.6693    2.0182    2.7246    4.3778    4.4596    4.4597    6.1074    6.1270
  0.0536  -15.6487  -15.4787  -15.4787  -15.3125  -15.3125  -14.4500  -13.9841  -13.9841  -13.9038  -13.8697  -13.8697  -12.9944  -12.8086   -7.0688   -7.0688   -6.9442   -6.5416   -6.5416   -6.4127   -4.8919   -2.6851   -2.6851   -2.5749   -1.7828   -1.2183   -1.2183   -0.8899   -0.8899    0.6561    2.0087    2.7395    4.3748    4.4596    4.4596    6.0817    6.1123
  0.0670  -15.6487  -15.4787  -15.4787  -15.3125  -15.3125  -14.4500  -13.9841  -13.9841  -13.9038  -13.8697  -13.8697  -12.9949  -12.8081   -7.0688   -7.0688   -6.9430   -6.5416   -6.5416   -6.4178   -4.8790   -2.6851   -2.6851   -2.6258   -1.7283   -1.2182   -1.2182   -0.8900   -0.8900    0.6394    1.9977    2.7574    4.3711    4.4597    4.4597    6.0824    6.1441
  0.0804  -15.6487  -15.4787  -15.4787  -15.3125  -15.3125  -14.4499  -13.9841  -13.9841  -13.9038  -13.8697  -13.8697  -12.9955  -12.8075   -7.0688   -7.0688   -6.9416   -6.5416   -6.5416   -6.4237   -4.8639   -2.6851   -2.6851   -2.6791   -1.6704   -1.2181   -1.2181   -0.8901   -0.8901    0.6196    1.9855    2.7774    4.3667    4.4598    4.4598    6.0728    6.1922
  0.0938  -15.6487  -15.4787  -15.4787  -15.3125  -15.3125  -14.4499  -13.9841  -13.9841  -13.9038  -13.8697  -13.8697  -12.9961  -12.8069   -7.0688   -7.0688   -6.9401   -6.5416   -6.5416   -6.4303   -4.8468   -2.7333   -2.6851   -2.6851   -1.6110   -1.2180   -1.2180   -0.8902   -0.8901    0.5970    1.9729    2.7990    4.3619    4.4598    4.4598    6.0730    6.1117
  0.1072  -15.6487  -15.4787  -15.4787  -15.3125  -15.3125  -14.4499  -13.9841  -13.9841  -13.9038  -13.8697  -13.8697  -12.9967  -12.8062   -7.0688   -7.0688   -6.9383   -6.5415   -6.5415   -6.4373   -4.8281   -2.7872   -2.6851   -2.6851   -1.5514   -1.2180   -1.2180   -0.8902   -0.8902    0.5721    1.9603    2.8213    4.3566    4.4599    4.4599    6.0688    6.1105
  0.1206  -15.6487  -15.4787  -15.4787  -15.3125  -15.3125  -14.4499  -13.9841  -13.9841  -13.9039  -13.8697  -13.8697  -12.9974  -12.8055   -7.0688   -7.0688   -6.9365   -6.5415   -6.5415   -6.4446   -4.8083   -2.8397   -2.6851   -2.6851   -1.4924   -1.2179   -1.2179   -0.8903   -0.8903    0.5453    1.9480    2.8438    4.3510    4.4600    4.4600    6.0617    6.0738
  0.1340  -15.6487  -15.4787  -15.4787  -15.3125  -15.3125  -14.4498  -13.9841  -13.9841  -13.9039  -13.8697  -13.8697  -12.9981  -12.8047   -7.0688   -7.0688   -6.9346   -6.5416   -6.5416   -6.4519   -4.7879   -2.8901   -2.6852   -2.6851   -1.4350   -1.2178   -1.2178   -0.8904   -0.8904    0.5172    1.9364    2.8659    4.3453    4.4601    4.4601    6.0560    6.0890
  0.1474  -15.6487  -15.4787  -15.4787  -15.3125  -15.3125  -14.4498  -13.9841  -13.9841  -13.9039  -13.8697  -13.8697  -12.9988  -12.8040   -7.0688   -7.0688   -6.9327   -6.5416   -6.5416   -6.4591   -4.7673   -2.9377   -2.6852   -2.6852   -1.3802   -1.2177   -1.2177   -0.8905   -0.8905    0.4885    1.9257    2.8870    4.3396    4.4602    4.4602    6.0568    6.0850
