#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -17.4252  -17.4252  -17.4218  -17.2857  -17.2626  -17.2626  -17.2057  -17.2013  -17.1783  -17.1574  -15.4367  -13.2967  -13.2967  -13.2750   -8.3969   -8.2479   -8.2199   -8.2199   -8.1949   -7.5744   -6.3012   -4.4889   -4.2511   -4.2511   -4.0308   -3.6795   -2.7506   -2.7506   -0.8279   -0.8199   -0.8199    2.7580    3.4984    4.1405    5.9562    5.9562    6.4006    6.7845    6.7845    6.8029    8.7084    8.7744    9.3156    9.4578    9.4578   12.4112   12.5714   12.9372
  0.0441  -17.4257  -17.4251  -17.4216  -17.2858  -17.2630  -17.2626  -17.2059  -17.2012  -17.1783  -17.1576  -15.4318  -13.3016  -13.3000  -13.2745   -8.3952   -8.2481   -8.2223   -8.2200   -8.1942   -7.5727   -6.2997   -4.5170   -4.2916   -4.2076   -3.9994   -3.6716   -2.7589   -2.7422   -0.8571   -0.8362   -0.8209    2.7900    3.5201    4.1561    5.9393    5.9560    6.3968    6.7693    6.7847    6.8337    8.7196    8.7632    9.2116    9.5056    9.5689   12.3842   12.5239   12.9418
  0.0881  -17.4269  -17.4249  -17.4209  -17.2859  -17.2641  -17.2628  -17.2058  -17.2012  -17.1784  -17.1577  -15.4169  -13.3156  -13.3097  -13.2738   -8.3901   -8.2488   -8.2284   -8.2204   -8.1923   -7.5675   -6.2967   -4.5631   -4.3758   -4.1148   -3.9373   -3.6550   -2.7767   -2.7175   -0.9587   -0.8658   -0.8247    2.8797    3.5819    4.2071    5.8937    5.9545    6.3837    6.7392    6.8068    6.8875    8.7067    8.7828    9.0783    9.6304    9.7341   12.3072   12.3925   12.8797
  0.1322  -17.4282  -17.4245  -17.4199  -17.2860  -17.2659  -17.2630  -17.2057  -17.2009  -17.1784  -17.1578  -15.3923  -13.3379  -13.3254  -13.2732   -8.3819   -8.2515   -8.2355   -8.2208   -8.1898   -7.5594   -6.2963   -4.5910   -4.4703   -4.0130   -3.8672   -3.6453   -2.7880   -2.6766   -1.1132   -0.9143   -0.8311    3.0110    3.6717    4.3009    5.8314    5.9506    6.3648    6.6910    6.8607    6.9521    8.6696    8.8050    9.0166    9.7984    9.9073   12.1677   12.2160   12.4990
  0.1762  -17.4297  -17.4241  -17.4187  -17.2862  -17.2683  -17.2633  -17.2054  -17.2005  -17.1784  -17.1579  -15.3583  -13.3679  -13.3464  -13.2733   -8.3714   -8.2588   -8.2397   -8.2209   -8.1871   -7.5494   -6.3044   -4.5923   -4.5557   -3.9395   -3.7851   -3.6456   -2.7743   -2.6217   -1.3025   -0.9814   -0.8403    3.1643    3.7728    4.4454    5.7612    5.9409    6.3500    6.6289    6.9362    7.0245    8.6024    8.7871    9.0860    9.9795   10.0828   11.9594   12.0089   12.1014
  0.2203  -17.4311  -17.4236  -17.4172  -17.2866  -17.2712  -17.2636  -17.2051  -17.1998  -17.1782  -17.1579  -15.3151  -13.4044  -13.3720  -13.2745   -8.3596   -8.2691   -8.2409   -8.2207   -8.1841   -7.5385   -6.3254   -4.6544   -4.5310   -3.9484   -3.6829   -3.6218   -2.7290   -2.5561   -1.5078   -1.0660   -0.8519    3.3228    3.8705    4.6400    5.6894    5.9260    6.3462    6.5663    7.0213    7.1032    8.4942    8.8142    9.2123   10.1439   10.2525   11.6057   11.7658   11.8573
  0.2644  -17.4327  -17.4232  -17.4154  -17.2873  -17.2744  -17.2638  -17.2047  -17.1993  -17.1781  -17.1580  -15.2632  -13.4465  -13.4013  -13.2772   -8.3487   -8.2783   -8.2412   -8.2203   -8.1811   -7.5275   -6.3611   -4.7275   -4.4411   -4.0424   -3.5861   -3.5417   -2.6598   -2.4871   -1.7088   -1.1669   -0.8665    3.4755    3.9577    4.8676    5.6220    5.9092    6.3361    6.5328    7.1011    7.1899    8.3799    8.8797    9.3522   10.2547   10.3808   11.2336   11.5660   11.6552
  0.3084  -17.4343  -17.4229  -17.4135  -17.2886  -17.2777  -17.2642  -17.2042  -17.1987  -17.1779  -17.1581  -15.2031  -13.4929  -13.4332  -13.2821   -8.3418   -8.2824   -8.2413   -8.2199   -8.1782   -7.5170   -6.4102   -4.7888   -4.3108   -4.1788   -3.5109   -3.4239   -2.5810   -2.4280   -1.8769   -1.2810   -0.8842    3.6165    4.0324    5.0812    5.5811    5.8993    6.2968    6.5634    7.1670    7.2822    8.2801    8.9621    9.4847   10.2282   10.4129   11.0077   11.4054   11.4862
  0.3525  -17.4358  -17.4227  -17.4111  -17.2906  -17.2806  -17.2646  -17.2038  -17.1982  -17.1778  -17.1583  -15.1354  -13.5426  -13.4666  -13.2900   -8.3415   -8.2789   -8.2413   -8.2197   -8.1755   -7.5070   -6.4696   -4.8398   -4.3323   -4.1415   -3.4508   -3.3037   -2.5159   -2.3889   -1.9714   -1.4031   -0.9045    3.7441    4.0926    5.1818    5.6344    5.9066    6.2493    6.6454    7.2156    7.3746    8.2062    9.0357    9.5859   10.0036   10.3830   10.9101   11.3105   11.3716
  0.3966  -17.4372  -17.4226  -17.4084  -17.2937  -17.2826  -17.2650  -17.2033  -17.1975  -17.1775  -17.1584  -15.0610  -13.5945  -13.5005  -13.3013   -8.3463   -8.2698   -8.2408   -8.2200   -8.1727   -7.4969   -6.5351   -4.8892   -4.4699   -3.9501   -3.4249   -3.1903   -2.4980   -2.3364   -1.9814   -1.5236   -0.9271    3.8565    4.1364    5.1334    5.7768    5.9505    6.2197    6.7549    7.2454    7.4606    8.1662    9.0545    9.6210    9.7581   10.3189   10.8068   11.2454   11.2975
